codgeo;population_totale;pop_60ansetplus
80113;330;80
02503;837;250
05094;15;3
88008;165;41
02283;282;59
80120;557;154
02504;1664;339
05108;136;44
88022;224;60
02289;420;100
80126;938;316
02508;154;43
05111;270;95
88024;109;22
02294;213;73
80134;73;14
02515;61;18
05116;195;53
88030;132;31
02296;1118;282
80135;238;55
02525;574;180
05117;109;45
88044;606;161
02297;114;26
80138;129;15
02526;84;28
05121;164;52
88065;312;150
02302;313;51
80143;89;19
02530;75;24
05129;148;60
88071;52;9
02306;558;141
80147;317;99
02532;968;275
05131;88;27
88090;4593;1126
02321;904;195
80153;135;38
02533;123;31
05154;157;72
88093;51;17
02333;160;36
80156;372;103
02534;56;18
05163;147;56
88099;1413;463
02334;2938;769
80160;1076;405
02535;121;38
05169;36;21
88102;98;37
02335;195;31
80163;733;235
02538;62;21
05172;317;123
88104;182;66
02336;1006;168
80169;72;30
02540;1202;277
05173;450;161
88107;32;12
02337;181;43
80171;603;207
02548;382;100
06002;73;23
88118;730;203
02346;677;219
80173;502;153
02550;107;30
06003;589;160
88121;268;73
02356;245;40
80180;103;25
02555;2092;440
06006;2144;614
88126;1451;347
02359;1337;235
80185;268;56
02558;2531;689
06012;13724;2923
88136;1486;425
02360;2673;696
80186;2014;464
02561;164;44
06013;674;253
88139;126;32
02363;421;104
80194;135;38
02564;503;146
06024;222;108
88143;275;73
02364;251;44
80200;231;69
02572;513;111
06028;436;132
88162;189;66
02368;581;145
80202;331;90
02573;66;26
06047;103;31
88169;229;84
02370;592;123
80204;767;224
02587;355;95
06048;7021;1935
88170;720;230
02372;383;97
80213;415;88
02588;76;22
06049;125;36
88177;531;165
02380;26;11
80219;67;22
02609;21;8
06050;528;135
88184;483;107
02384;50;7
80227;410;88
02610;648;190
06060;1936;605
88185;109;35
02390;273;52
80228;2044;795
02612;128;27
06062;352;151
88186;44;12
02392;303;78
80231;159;34
02614;256;67
06064;4036;1120
88187;49;9
02403;274;66
80234;814;229
02615;338;76
06067;1288;299
88188;1749;566
02417;93;34
80235;1270;324
02617;498;129
06068;387;106
88189;153;49
02418;208;58
80236;562;112
02618;706;163
06072;193;71
88193;136;36
02423;411;90
80245;294;85
02619;454;122
06075;4600;1152
88194;155;54
02426;549;132
80246;349;93
02623;106;37
06085;18365;4776
88221;257;82
02427;142;23
80252;236;51
02642;185;62
06087;49;22
88222;193;39
02443;190;44
80256;1620;498
02647;66;21
06088;333732;96313
88229;77;32
02444;109;41
80266;302;64
02652;117;25
06092;1470;434
88232;235;45
02447;147;30
80279;736;168
02655;113;39
06101;208;80
88236;110;42
02449;77;15
80284;776;187
02661;244;59
06104;12821;3820
88238;404;126
02451;125;32
80288;325;64
02668;1034;287
06114;5082;1117
88240;281;72
02452;242;54
80291;274;79
02684;3358;819
06118;3910;1063
88241;440;105
02466;131;30
80306;141;48
02689;45;16
06130;3560;744
88242;48;11
02474;420;95
80314;189;52
02694;633;135
06134;506;165
88245;320;71
02481;464;136
80318;3008;741
02695;72;21
06137;1316;435
88246;477;164
02487;640;177
80329;174;35
02699;289;52
06139;107;62
88247;1179;262
02495;1013;233
80335;280;57
02703;1047;265
06141;338;85
88253;684;186
02499;45;14
80354;202;35
02712;155;29
06145;128;56
88273;463;116
02505;203;49
80357;244;58
02713;280;55
06150;3094;860
88278;78;36
02527;433;104
80359;294;78
02726;191;44
06151;853;241
88284;593;137
02528;237;75
80361;74;23
02727;238;64
06152;12512;1976
88299;153;42
02529;188;44
80364;772;257
02728;282;99
06153;813;264
88303;220;64
02531;124;33
80367;186;62
02730;276;69
06157;18035;5648
88306;50;21
02543;2067;504
80368;4539;1313
02739;328;67
06158;727;177
88307;99;33
02544;607;134
80386;183;32
02746;664;153
06159;4898;1884
88309;158;60
02546;201;36
80388;223;28
02750;611;136
06163;1904;649
88320;814;295
02547;66;16
80390;398;80
02751;148;36
07003;166;53
88321;6313;1933
02552;187;41
80408;347;93
02756;648;160
07006;159;51
88325;178;58
02559;479;112
80414;123;20
02766;241;44
07009;1177;261
88332;225;73
02569;467;111
80415;1018;211
02767;328;94
07010;16034;4652
88338;90;22
02574;1350;370
80416;758;197
02792;152;41
07023;370;129
88346;755;224
02576;320;69
80418;84;26
02795;1635;449
07024;666;271
88347;130;24
02577;76;20
80431;610;142
02798;1201;202
07026;257;97
88355;1025;273
02578;89;19
80435;56;19
02805;2494;657
07027;1685;432
88362;96;34
02581;306;48
80437;122;39
02806;277;81
07029;239;84
88364;150;43
02583;58;25
80439;171;44
02810;10548;2203
07042;6835;1908
88366;278;82
02585;256;55
80442;1173;282
02813;278;52
07049;43;26
88372;6266;1773
02590;173;55
80460;63;31
02823;73;22
07056;920;158
88376;285;75
02591;129;35
80468;172;37
02826;389;107
07058;908;315
88399;197;48
02593;997;337
80475;233;60
02829;43;7
07074;141;49
88426;1379;481
02596;790;154
80479;370;94
03002;312;94
07080;293;85
88427;127;41
02600;386;117
80482;143;39
03004;258;84
07100;408;168
88434;229;53
02601;197;26
80489;5443;1251
03005;335;79
07113;260;80
88436;74;20
02621;385;110
80494;199;34
03006;660;284
07116;1410;518
88439;934;252
02624;264;90
80507;1190;227
03010;437;138
07137;68;41
88441;136;19
02629;291;60
80509;600;118
03013;3859;1192
07142;319;97
88443;98;37
02632;61;16
80526;154;31
03014;134;65
