Num_Acc;jour;mois;an;hrmn;dep;com;lat;long
201900043260;3;4;2019;09:25;93;93027;48,92681;2,40452
201900042954;13;1;2019;10:10;93;93027;48,927195;2,4034794
201900042937;29;9;2019;04:45;93;93027;48,92013;2,40989
201900042862;14;1;2019;17:50;93;93027;48,93277;2,41196
201900042054;25;5;2019;13:58;93;93027;48,9281829;2,413507
201900041390;6;4;2019;14:28;93;93027;48,927;2,39
201900040977;26;2;2019;13:50;93;93027;48,9278671;2,3903351
201900038919;17;1;2019;09:39;93;93027;48,92974;2,39579
201900038830;1;10;2019;18:15;93;93027;48,92862;2,41493
201900038495;20;6;2019;09:59;93;93027;48,93;2,38
201900038494;20;6;2019;14:30;93;93027;48,9319;2,39878
201900037629;7;4;2019;05:30;93;93027;48,92377;2,38448
201900037287;17;1;2019;20:45;93;93027;48,9308561;2,3821422
201900037037;2;10;2019;06:45;93;93027;48,92801;2,40328
201900037032;3;10;2019;21:10;93;93027;48,92696;2,40588
201900035889;9;4;2019;08:00;93;93027;48,93236;2,3995
201900035235;3;10;2019;07:40;93;93027;48,93575;2,4043
201900034730;13;12;2019;18:55;93;93027;48,92466;2,38985
201900033542;23;6;2019;06:30;93;93027;48,93665;2,40734
201900033462;24;6;2019;17:00;93;93027;48,9276;2,3922
201900033225;5;10;2019;11:45;93;93027;48,92786;2,40958
201900032851;9;11;2019;15:15;93;93027;48,92635;2,40359
201900031943;4;9;2019;09:20;93;93027;48,92656;2,40309
201900031619;19;1;2019;02:40;93;93027;48,92664;2,40213
201900031606;24;1;2019;01:45;93;93027;48,9286;2,41492
201900031526;5;10;2019;20:24;93;93027;48,92572;2,39658
201900031325;16;12;2019;16:00;93;93027;48,92285;2,41281
201900030712;25;7;2019;18:10;93;93027;48,92724;2,39661
201900030711;26;7;2019;16:15;93;93027;48,9437;2,41257
201900030322;11;4;2019;00:20;93;93027;48,92961;2,42033
201900030207;25;6;2019;04:50;93;93027;48,92734;2,40694
201900029959;6;9;2019;18:10;93;93027;48,92508;2,39236
201900029762;24;1;2019;01:20;93;93027;48,9279;2,39071
201900029710;6;10;2019;15:30;93;93027;48,94151;2,41007
201900029233;11;11;2019;10:20;93;93027;48,92841;2,41668
201900027760;7;10;2019;22:40;93;93027;48,92704;2,39357
201900027404;12;11;2019;16:50;93;93027;48,92836;2,41688
201900027002;27;7;2019;09:00;93;93027;48,92852;2,41356
201900026459;7;9;2019;15:21;93;93027;48,9296;2,3774
201900026002;8;10;2019;20:20;93;93027;48,92855;2,41357
201900025930;9;10;2019;02:05;93;93027;48,9313305;2,3861214
201900024326;23;12;2019;10:15;93;93027;48,92863;2,41469
201900024316;24;12;2019;13:15;93;93027;48,93811;2,41366
201900024193;9;10;2019;10:30;93;93027;48,92859;2,41568
201900024190;10;10;2019;18:00;93;93027;48,93467;2,39898
201900023818;14;11;2019;08:30;93;93027;48,92448;2,38998
201900023331;31;7;2019;00:45;93;93027;48,9317;2,39433
201900022615;11;10;2019;21:40;93;93027;48,93788;2,41232
201900022473;29;1;2019;11:30;93;93027;48,9208;2,38297
201900021379;30;6;2019;19:15;93;93027;48,9317075;2,3777991
201900020694;2;2;2019;05:30;93;93027;48,93447;2,39762
201900020046;17;11;2019;13:35;93;93027;48,92511;2,3844
201900019792;31;7;2019;12:50;93;93027;48,93038;2,38318
201900019291;13;10;2019;09:15;93;93027;48,92603;2,39906
201900019149;14;10;2019;10:00;93;93027;48,92568;2,39637
201900018578;14;3;2019;08:30;93;93027;48,92;2,41
201900018567;14;3;2019;20:45;93;93027;48,92465;2,41515
201900018009;3;6;2019;17:25;93;93027;48,9357171;2,3830944
201900017338;15;10;2019;08:10;93;93027;48,92005;2,41202
201900016854;13;3;2019;08:55;93;93027;48,92584;2,39773
201900016641;29;12;2019;00:40;93;93027;48,92253;2,38365
201900015475;30;1;2019;23:00;93;93027;48,93373;2,38466
201900015448;16;1;2019;17:25;93;93027;48,92035;2,41158
