id_zone;INSEE;LIBGEO;DEP;REG;EPCI;TYPPRED;loypredm2;lwrIPm2;uprIPm2;R2adj;Nbobs_maille;NBobs_commune
934;66069;Espira-de-l'Agly;66;76;200027183;commune;8,130843626;6,011175971;10,99795088;0,706108482;618;105
1019;66070;Espira-de-Conflent;66;76;200049211;epci;7,34904255;5,455484146;9,899841142;0,60546511;764;2
1019;66071;Estagel;66;76;200027183;epci;7,034334445;5,214103272;9,490004033;0,60546511;764;132
343;66072;Estavar;66;76;246600399;epci;7,074303916;4,815297787;10,39308016;0,576507161;772;4
1019;66073;Estoher;66;76;200049211;epci;7,34904255;5,455484146;9,899841142;0,60546511;764;6
1019;66074;Eus;66;76;200049211;epci;7,34904255;5,455484146;9,899841142;0,60546511;764;7
343;66075;Eyne;66;76;246600464;epci;7,442949888;5,064808362;10,93772934;0,576507161;772;15
1182;66076;Felluns;66;76;246600423;maille;6,297793655;4,386169546;9,042560829;0,50396946;483;0
618;66077;Fenouillet;66;76;246600423;maille;5,931524914;4,297322612;8,187187928;0,533271598;617;0
1019;66078;Fillols;66;76;200049211;epci;7,34904255;5,455484146;9,899841142;0,60546511;764;3
1019;66079;Finestret;66;76;200049211;epci;7,34904255;5,455484146;9,899841142;0,60546511;764;22
343;66080;Fontp�drouse;66;76;200049211;maille;6,324109239;4,306892113;9,286129443;0,576507161;772;0
343;66081;Fontrabiouse;66;76;246600464;epci;7,442949888;5,064808362;10,93772934;0,576507161;772;3
343;66082;Formigu�res;66;76;246600464;epci;7,442949888;5,064808362;10,93772934;0,576507161;772;8
1182;66083;Fosse;66;76;246600423;maille;6,297793655;4,386169546;9,042560829;0,50396946;483;0
864;66084;Fourques;66;76;246600449;maille;8,342527258;6,13092199;11,35192409;0,659287181;739;56
1019;66085;Fuilla;66;76;200049211;epci;7,34904255;5,455484146;9,899841142;0,60546511;764;24
1019;66086;Glorianes;66;76;246600415;maille;6,722743059;4,989588098;9,057916875;0,60546511;764;0
830;66088;Ille-sur-T�t;66;76;246600415;commune;7,413764939;5,492961098;10,00624428;0,649498995;1086;191
1019;66089;Joch;66;76;200049211;epci;7,34904255;5,455484146;9,899841142;0,60546511;764;11
1019;66090;Jujols;66;76;200049211;epci;7,34904255;5,455484146;9,899841142;0,60546511;764;2
1019;66091;Laman�re;66;76;246600548;maille;6,722743059;4,989588098;9,057916875;0,60546511;764;3
1019;66092;Lansac;66;76;246600423;maille;6,722743059;4,989588098;9,057916875;0,60546511;764;1
893;66093;Laroque-des-Alb�res;66;76;200043602;maille;9,18319716;6,861904666;12,28975251;0,720790417;662;48
1536;66094;Latour-Bas-Elne;66;76;246600282;maille;9,390306801;6,336668913;13,91549141;0,643967825;535;90
343;66095;Latour-de-Carol;66;76;246600399;epci;7,074303916;4,815297787;10,39308016;0,576507161;772;4
1019;66096;Latour-de-France;66;76;246600423;maille;6,722743059;4,989588098;9,057916875;0,60546511;764;47
1019;66097;Lesquerde;66;76;246600423;maille;6,722743059;4,989588098;9,057916875;0,60546511;764;0
343;66098;La Llagonne;66;76;246600464;epci;7,442949888;5,064808362;10,93772934;0,576507161;772;8
1084;66099;Llauro;66;76;246600449;maille;7,900938654;5,902166739;10,57659574;0,767608013;527;17
343;66100;Llo;66;76;246600399;epci;7,074303916;4,815297787;10,39308016;0,576507161;772;1
864;66101;Llupia;66;76;200027183;maille;8,342527258;6,13092199;11,35192409;0,659287181;739;64
343;66102;Mantet;66;76;200049211;maille;6,324109239;4,306892113;9,286129443;0,576507161;772;0
